station,line_names,division,borough,subregion
CATHEDRL-110 ST,BC,IND,Manhattan,110 and above
CENTRAL AV,M,BMT,Brooklyn,
CENTRAL AVE,M,BMT,Brooklyn,
CENTRAL PK N110,23,IRT,Manhattan,110 and above
CHAMBERS ST,123,IRT,Manhattan,Below Canal
CHAMBERS ST,ACE23,IND,Manhattan,Below Canal
CHAMBERS ST,JZ456,BMT,Manhattan,Below Canal
CHAUNCEY ST,JZ,BMT,Brooklyn,
CHRISTOPHER ST,1,IRT,Manhattan,Canal to 14
CHRISTOPHER ST,1,PTH,Manhattan,Canal to 14
CHURCH AV,25,IRT,Brooklyn,
CHURCH AV,BQ,BMT,Brooklyn,
CHURCH AV,FG,IND,Brooklyn,
CHURCH AVE,25,IRT,Brooklyn,
CHURCH AVE,BQ,BMT,Brooklyn,
CHURCH AVE,FG,IND,Brooklyn,
CITY / BUS,1,PTH,Manhattan,Below Canal
CITY HALL,NRW,BMT,Manhattan,Below Canal
CITY HALL,R,BMT,Manhattan,Below Canal
CLARK ST,23,IRT,Brooklyn,
CLASSON AV,G,IND,Brooklyn,
CLASSON AVE,G,IND,Brooklyn,
CLEVELAND ST,J,BMT,Brooklyn,
CLINTON-WASH AV,C,IND,Brooklyn,
CLINTON-WASH AV,G,IND,Brooklyn,
CONEY IS-STILLW,DFNQ,BMT,Brooklyn,
CORTELYOU RD,BQ,BMT,Brooklyn,
CORTELYOU ROAD,BQ,BMT,Brooklyn,
CORTLANDT ST,1,IRT,Manhattan,Below Canal
CORTLANDT ST,R,BMT,Manhattan,Below Canal
CORTLANDT ST,RNW,BMT,Manhattan,Below Canal
COURT SQ,7,IRT,Queens,
COURT SQ,EMG,IND,Queens,
COURT SQ-23 ST,EMG,IND,Queens,
CRESCENT ST,JZ,BMT,Brooklyn,
CROWN HTS-UTICA,34,IRT,Brooklyn,
CYPRESS AV,6,IRT,Bronx,
CYPRESS AVE,6,IRT,Bronx,
CYPRESS HILLS,J,BMT,Brooklyn,
DEKALB AV,BDNQR,BMT,Brooklyn,
DEKALB AV,L,BMT,Brooklyn,
DEKALB AVE,BDNQR,BMT,Brooklyn,
DEKALB AVE,L,BMT,Brooklyn,
DELANCEY ST,FJMZ,IND,Manhattan,Canal to 14
DELANCEY/ESSEX,FJMZ,BMT,Manhattan,Canal to 14
DELANCEY/ESSEX,FJMZ,IND,Manhattan,Canal to 14
DITMARS BL-31 S,NQ,BMT,Queens,
DITMAS AV,F,IND,Brooklyn,
DITMAS AVE,F,IND,Brooklyn,
DYCKMAN ST,1,IRT,Manhattan,110 and above
DYCKMAN ST,A,IND,Manhattan,110 and above
DYCKMAN-200 ST,A,IND,Manhattan,110 and above
DYRE AVE,5,IRT,Bronx,
E 143 ST,6,IRT,Bronx,
E 143/ST MARY'S,6,IRT,Bronx,
E 149 ST,6,IRT,Bronx,
E 177 ST-PARKCH,6,IRT,Bronx,
E 180 ST,25,IRT,Bronx,
E TREMONT AVE,25,IRT,Bronx,
EAST 105 ST,L,BMT,Brooklyn,
EAST BROADWAY,F,IND,Manhattan,Canal to 14
EASTCHSTER/DYRE,5,IRT,Bronx,
EASTERN PKWY,23,IRT,Brooklyn,
EASTN PKWY-MUSM,23,IRT,Brooklyn,
ELDER AV,6,IRT,Bronx,
ELDER AVE,6,IRT,Bronx,
ELDERTS LANE,JZ,BMT,Queens,
ELMHURST AV,MR,IND,Queens,
ELMHURST AVE,MR,IND,Queens,
ESSEX ST,FJMZ,BMT,Manhattan,Canal to 14
EUCLID AV,AC,IND,Brooklyn,
EUCLID AVE,AC,IND,Brooklyn,
EXCHANGE PLACE,1,PTH,New Jersey,
FAR ROCKAWAY,A,IND,Queens,
FLATBUSH AV-B.C,25,IRT,Brooklyn,
FLATBUSH AVE,25,IRT,Brooklyn,
FLUSHING AV,G,IND,Brooklyn,
FLUSHING AV,JM,BMT,Brooklyn,
FLUSHING AVE,G,IND,Brooklyn,
FLUSHING AVE,JM,BMT,Brooklyn,
FLUSHING-MAIN,7,IRT,Queens,
FORDHAM RD,4,IRT,Bronx,
FORDHAM RD,BD,IND,Bronx,
FORDHAM ROAD,4,IRT,Bronx,
FORDHAM ROAD,BD,IND,Bronx,
FOREST AVE,M,BMT,Queens,
FOREST HILLS 71,EFMR,IND,Queens,
FOREST HILLS-71,EFMR,IND,Queens,
FOREST PARKWAY,J,BMT,Queens,
FRANKLIN AV,2345S,IRT,Brooklyn,
FRANKLIN AV,ACS,IND,Brooklyn,
FRANKLIN AVE,2345S,IRT,Brooklyn,
FRANKLIN AVE,ACS,IND,Brooklyn,
FRANKLIN ST,1,IRT,Manhattan,Below Canal
FREEMAN ST,25,IRT,Bronx,
FRESH POND RD,M,BMT,Queens,
FRESH POND ROAD,M,BMT,Queens,
FT HAMILTON PKY,D,BMT,Brooklyn,
FT HAMILTON PKY,FG,IND,Brooklyn,
FT HAMILTON PKY,N,BMT,Brooklyn,
FULTON ST,2345ACJZ,IND,Manhattan,Below Canal
FULTON ST,2345ACJZ,IRT,Manhattan,Below Canal
FULTON ST,ACJZ2345,BMT,Manhattan,Below Canal
FULTON ST,ACJZ2345,IND,Manhattan,Below Canal
FULTON ST,G,IND,Brooklyn,
GATES AV,JZ,BMT,Brooklyn,
GATES AVE,JZ,BMT,Brooklyn,
GRAHAM AV,L,BMT,Brooklyn,
GRAHAM AVE,L,BMT,Brooklyn,
GRAND ARMY PLAZ,23,IRT,Brooklyn,
GRAND AV-NEWTON,MR,IND,Queens,
GRAND ST,BD,IND,Manhattan,Canal to 14
GRAND ST,L,BMT,Brooklyn,
GRAND-30 AVE,NQ,BMT,Queens,
GRAND-NEWTOWN,MR,IND,Queens,
GRANT AV,A,IND,Brooklyn,
GRANT AVE,A,IND,Brooklyn,
GRD CNTRL-42 ST,4567S,IRT,Manhattan,42 to 60
GREENPOINT AV,G,IND,Brooklyn,
GREENPOINT AVE,G,IND,Brooklyn,
GREENWOOD-111,A,IND,Queens,
GROVE STREET,1,PTH,New Jersey,
GUN HILL RD,25,IRT,Bronx,
GUN HILL RD,5,IRT,Bronx,
GUN HILL ROAD,25,IRT,Bronx,
GUN HILL ROAD,5,IRT,Bronx,
HALSEY ST,J,BMT,Brooklyn,
HALSEY ST,L,BMT,Brooklyn,
HARLEM 148 ST,3,IRT,Manhattan,110 and above
HARRISON,1,PTH,New Jersey,
HEWES ST,JM,BMT,Brooklyn,
HIGH ST,AC,IND,Brooklyn,
HOUSTON ST,1,IRT,Manhattan,Canal to 14
HOWARD BCH JFK,A,IND,Queens,
HOWARD BCH-JFK,A,IND,Queens,
HOYT ST,23,IRT,Brooklyn,
HOYT ST-ASTORIA,NQ,BMT,Queens,
HOYT-SCHER,ACG,IND,Brooklyn,
HOYT/SCHERMER,ACG,IND,Brooklyn,
HUDSON-80 ST,A,IND,Queens,
HUNTERS PT AV,7,IRT,Queens,
HUNTERS PT AVE,7,IRT,Queens,
HUNTS POINT AV,6,IRT,Bronx,
HUNTS POINT AVE,6,IRT,Bronx,
INTERVALE AV,25,IRT,Bronx,
INTERVALE-163,25,IRT,Bronx,
INWOOD-207 ST,A,IND,Manhattan,110 and above
JACKSON AV,25,IRT,Bronx,
JACKSON AVE,25,IRT,Bronx,
JAMAICA 179 ST,F,IND,Queens,
JAMAICA CENTER,EJZ,IND,Queens,
JAMAICA VAN WK,E,IND,Queens,
JAMAICA-179 ST,F,IND,Queens,
JAMAICA-VAN WYC,E,IND,Queens,
JAY ST-METROTEC,ACF,IND,Brooklyn,
JAY ST-METROTEC,R,BMT,Brooklyn,
JEFFERSON ST,L,BMT,Brooklyn,
JFK HOWARD BCH,A,IND,Queens,
JFK JAMAICA CT1,E,IND,Queens,
JKSN HT-ROOSVLT,EFMR7,IND,Queens,
JOURNAL SQUARE,1,PTH,New Jersey,
JUNCTION BLVD,7,IRT,Queens,
JUNIUS ST,3,IRT,Brooklyn,
KEW GARDENS,EF,IND,Queens,
KINGS HIGHWAY,BQ,BMT,Brooklyn,
KINGS HIGHWAY,F,IND,Brooklyn,
KINGS HIGHWAY,N,BMT,Brooklyn,
KINGS HWY,BQ,BMT,Brooklyn,
KINGS HWY,F,IND,Brooklyn,
KINGS HWY,N,BMT,Brooklyn,
KINGSBRIDGE RD,4,IRT,Bronx,
KINGSBRIDGE RD,BD,IND,Bronx,
KINGSTON AV,3,IRT,Brooklyn,
KINGSTON AVE,3,IRT,Brooklyn,
KINGSTON-THROOP,C,IND,Brooklyn,
KNICKERBOCKER,M,BMT,Brooklyn,
KOSCIUSZKO ST,J,BMT,Brooklyn,
LACKAWANNA,1,PTH,New Jersey,
LAFAYETTE AV,C,IND,Brooklyn,
LAFAYETTE AVE,C,IND,Brooklyn,
LEFFERTS BLVD,A,IND,Queens,
LEXINGTON AV/53,EM6,IND,Manhattan,42 to 60
LEXINGTON AV/63,F,IND,Manhattan,60 to 110
LEXINGTON AVE,F,IND,Manhattan,60 to 110
LEXINGTON AVE,NQR456,BMT,Manhattan,42 to 60
LEXINGTON-53 ST,EM6,IND,Manhattan,42 to 60
LIBERTY AV,C,IND,Brooklyn,
LIBERTY AVE,C,IND,Brooklyn,
LIVONIA AV,L,BMT,Brooklyn,
LIVONIA AVE,L,BMT,Brooklyn,
LONGWOOD AV,6,IRT,Bronx,
LONGWOOD AVE,6,IRT,Bronx,
LORIMER ST,JM,BMT,Brooklyn,
LORIMER ST,LG,BMT,Brooklyn,
MAIN ST,7,IRT,Queens,
MARBLE HILL-225,1,IRT,Manhattan,110 and above
MARCY AV,JMZ,BMT,Brooklyn,
MARCY AVE,JMZ,BMT,Brooklyn,
METROPOLITAN AV,GL,IND,Brooklyn,
METROPOLITAN AV,M,BMT,Brooklyn,
METS-WILLETS PT,7,IRT,Queens,
MIDDLETOWN RD,6,IRT,Bronx,
MIDDLETOWN ROAD,6,IRT,Bronx,
MONTROSE AV,L,BMT,Brooklyn,
MONTROSE AVE,L,BMT,Brooklyn,
MORGAN AV,L,BMT,Brooklyn,
MORGAN AVE,L,BMT,Brooklyn,
MORISN AV/SNDVW,6,IRT,Bronx,
MORRIS PARK,5,IRT,Bronx,
MORRISON AVE,6,IRT,Bronx,
MOSHOLU PARKWAY,4,IRT,Bronx,
MOSHOLU PKWY,4,IRT,Bronx,
MT EDEN AV,4,IRT,Bronx,
MT EDEN AVE,4,IRT,Bronx,
MYRTLE AV,JMZ,BMT,Brooklyn,
MYRTLE AVE,JMZ,BMT,Brooklyn,
MYRTLE AVE,LM,BMT,Brooklyn,
MYRTLE-WILLOUGH,G,IND,Brooklyn,
MYRTLE-WYCKOFF,LM,BMT,Brooklyn,
NASSAU AV,G,IND,Brooklyn,
NASSAU ST,G,IND,Brooklyn,
NECK RD,BQ,BMT,Brooklyn,
NECK ROAD,BQ,BMT,Brooklyn,
NEPTUNE AV,F,IND,Brooklyn,
NEPTUNE AVE,F,IND,Brooklyn,
NEREID AV,25,IRT,Bronx,
NEREID AVE,25,IRT,Bronx,
NEVINS ST,2345,IRT,Brooklyn,
NEW LOTS,L,BMT,Brooklyn,
NEW LOTS AV,3,IRT,Brooklyn,
NEW LOTS AVE,3,IRT,Brooklyn,
NEW LOTS AVE,L,BMT,Brooklyn,
NEW UTRECHT AV,ND,BMT,Brooklyn,
NEW UTRECHT AVE,ND,BMT,Brooklyn,
NEWARK BM BW,1,PTH,New Jersey,
NEWARK C,1,PTH,New Jersey,
NEWARK HM HE,1,PTH,New Jersey,
NEWARK HW BMEBE,1,PTH,New Jersey,
NEWKIRK AV,25,IRT,Brooklyn,
NEWKIRK AVE,25,IRT,Brooklyn,
NEWKIRK PLAZA,BQ,BMT,Brooklyn,
NORTHERN BLVD,MR,IND,Queens,
NORWOOD 205 ST,D,IND,Bronx,
NORWOOD AV,JZ,BMT,Brooklyn,
NORWOOD AVE,JZ,BMT,Brooklyn,
NORWOOD-205 ST,D,IND,Bronx,
NOSTRAND AV,3,IRT,Brooklyn,
NOSTRAND AV,AC,IND,Brooklyn,
NOSTRAND AVE,3,IRT,Brooklyn,
NOSTRAND AVE,AC,IND,Brooklyn,
OCEAN PARKWAY,Q,BMT,Brooklyn,
OCEAN PKWY,Q,BMT,Brooklyn,
ORCHARD BEACH,6,IND,Bronx,
OXFORD-104 ST,A,IND,Queens,
OZONE PK LEFFRT,A,IND,Queens,
PARK PLACE,23ACE,IRT,Manhattan,Below Canal
PARK PLACE,S,BMT,Brooklyn,
PARKCHESTER,6,IRT,Bronx,
PARKSIDE AV,BQ,BMT,Brooklyn,
PARKSIDE AVE,BQ,BMT,Brooklyn,
PARSONS BLVD,F,IND,Queens,
PATH NEW WTC,1,PTH,Manhattan,Below Canal
PATH WTC,1,PTH,Manhattan,Below Canal
PATH WTC 2,1,PTH,Manhattan,Below Canal
PAVONIA/NEWPORT,1,PTH,New Jersey,
PELHAM BAY PARK,6,IRT,Bronx,
PELHAM PARKWAY,25,IRT,Bronx,
PELHAM PARKWAY,5,IRT,Bronx,
PELHAM PKWY,25,IRT,Bronx,
PELHAM PKWY,5,IRT,Bronx,
PENNSYLVANIA AV,3,IRT,Brooklyn,
PRESIDENT ST,25,IRT,Brooklyn,
PRINCE ST,NR,BMT,Manhattan,Canal to 14
PRINCE ST,NRW,BMT,Manhattan,Canal to 14
PRINCE ST-B'WAY,NR,BMT,Manhattan,Canal to 14
PROSPECT AV,25,IRT,Bronx,
PROSPECT AV,R,BMT,Brooklyn,
PROSPECT AVE,25,IRT,Bronx,
PROSPECT AVE,R,BMT,Brooklyn,
PROSPECT PARK,BQS,BMT,Brooklyn,
QUEENS PLAZA,EMR,IND,Queens,
QUEENSBORO PLZ,7NQ,IRT,Queens,
QUEENSBORO PLZ,7NQW,IRT,Queens,
RALPH AV,C,IND,Brooklyn,
RALPH AVE,C,IND,Brooklyn,
RECTOR ST,1,IRT,Manhattan,Below Canal
RECTOR ST,NRW,BMT,Manhattan,Below Canal
RECTOR ST,R,BMT,Manhattan,Below Canal
RIT-MANHATTAN,R,RIT,Manhattan,60 to 110
RIT-ROOSEVELT,R,RIT,Manhattan,60 to 110
ROCKAWAY AV,3,IRT,Brooklyn,
ROCKAWAY AV,C,IND,Queens,
ROCKAWAY AVE,3,IRT,Brooklyn,
ROCKAWAY AVE,C,IND,Queens,
ROCKAWAY BLVD,A,IND,Queens,
ROCKAWAY PARK B,AS,IND,Queens,
ROCKAWAY PK 116,AS,IND,Queens,
ROCKAWAY PKY,L,BMT,Brooklyn,
ROOSEVELT AVE,EFMR7,IND,Queens,
ROOSEVELT IS,F,IND,Manhattan,60 to 110
ROOSEVELT ISLND,F,IND,Manhattan,60 to 110
SARATOGA AV,3,IRT,Brooklyn,
SARATOGA AVE,3,IRT,Brooklyn,
SENECA AVE,M,BMT,Queens,
SHEEPSHEAD BAY,BQ,BMT,Brooklyn,
SHEPHERD AV,C,IND,Brooklyn,
SHEPHERD AVE,C,IND,Brooklyn,
SIMPSON ST,25,IRT,Bronx,
SMITH-9 ST,FG,IND,Brooklyn,
SOUTH FERRY,1R,IRT,Manhattan,Below Canal
SOUTH FERRY,1RW,IRT,Manhattan,Below Canal
SPRING ST,6,IRT,Manhattan,Canal to 14
SPRING ST,CE,IND,Manhattan,Canal to 14
ST LAWRENCE AV,6,IRT,Bronx,
ST LAWRENCE AVE,6,IRT,Bronx,
ST. GEORGE,1,SRT,Staten Island,
STEINWAY ST,MR,IND,Queens,
STERLING ST,25,IRT,Brooklyn,
STILLWELL AVE,DFNQ,BMT,Brooklyn,
SUTPHIN BLVD,EJZ,IND,Queens,
SUTPHIN BLVD,F,IND,Queens,
SUTPHIN-ARCHER,E,IND,Queens,
SUTPHIN-ARCHER,EJZ,IND,Queens,
SUTTER AV,L,BMT,Brooklyn,
SUTTER AV-RUTLD,3,IRT,Brooklyn,
SUTTER AVE,3,IRT,Brooklyn,
SUTTER AVE,L,BMT,Brooklyn,
THIRTY ST,1,PTH,Manhattan,14 to 42
THIRTY THIRD ST,1,PTH,Manhattan,14 to 42
TIMES SQ-42 ST,1237ACENQRS,IRT,Manhattan,42 to 60
TIMES SQ-42 ST,1237ACENQRSW,IRT,Manhattan,42 to 60
TIMES SQ-42 ST,ACENQRS1237,BMT,Manhattan,42 to 60
TIMES SQ-42 ST,ACENQRS1237W,BMT,Manhattan,42 to 60
TOMPKINSVILLE,1,SRT,Staten Island,
TREMONT AV,BD,IND,Bronx,
TREMONT AVE,BD,IND,Bronx,
TWENTY THIRD ST,1,PTH,Manhattan,14 to 42
UNION ST,R,BMT,Brooklyn,
UNION TPK-KEW G,EF,IND,Queens,
UTICA AV,AC,IND,Brooklyn,
UTICA AVE,AC,IND,Brooklyn,
V.CORTLANDT PK,1,IRT,Bronx,
VAN ALSTON-21ST,G,IND,Queens,
VAN SICLEN AV,3,IRT,Brooklyn,
VAN SICLEN AV,JZ,BMT,Brooklyn,
VAN SICLEN AVE,3,IRT,Brooklyn,
VAN SICLEN AVE,C,IND,Brooklyn,
VAN SICLEN AVE,JZ,BMT,Brooklyn,
VAN WYCK BLVD,EF,IND,Queens,
VERNON-JACKSON,7,IRT,Queens,
VERNON/JACKSON,7,IRT,Queens,
W 4 ST-WASH SQ,ABCDEFM,IND,Manhattan,Canal to 14
W 8 ST-AQUARIUM,FQ,BMT,Brooklyn,
WAKEFIELD-241,2,IRT,Bronx,
WAKEFIELD/241,2,IRT,Bronx,
WALL ST,23,IRT,Manhattan,Below Canal
WALL ST,45,IRT,Manhattan,Below Canal
WASHINGTON-36 A,NQ,BMT,Queens,
WEST FARMS SQ,25,IRT,Bronx,
WESTCHESTER SQ,6,IRT,Bronx,
WHITEHALL S-FRY,R1,BMT,Manhattan,Below Canal
WHITEHALL S-FRY,R1W,BMT,Manhattan,Below Canal
WHITEHALL ST,R1,BMT,Manhattan,Below Canal
WHITLOCK AV,6,IRT,Bronx,
WHITLOCK AVE,6,IRT,Bronx,
WILSON AV,L,BMT,Brooklyn,
WILSON AVE,L,BMT,Brooklyn,
WINTHROP ST,25,IRT,Brooklyn,
WOODHAVEN BLVD,JZ,BMT,Queens,
WOODHAVEN BLVD,MR,IND,Queens,
WOODLAWN,4,IRT,Bronx,
WOODLAWN ROAD,4,IRT,Bronx,
WORLD TRADE CTR,ACE23,IND,Manhattan,Below Canal
WTC-CORTLANDT,1,IRT,Manhattan,Below Canal
YORK ST,F,IND,Brooklyn,
ZEREGA AV,6,IRT,Bronx,
ZEREGA AVE,6,IRT,Bronx,
